Altium Designer Pick and Place Locations
D:\moto32\hw\Production_Outputs\2020-10-10_13-20\Pick Place\Pick Place for backlight.txt

========================================================================================================================
File Design Information:

Date:       10/10/20
Time:       13:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                   Layer    Footprint                  Center-X(mm) Center-Y(mm) Rotation         Description                                                     
U1         IC_TI_LM1117              TopLayer IC_TI_LM1117               75.7500mm    38.6465mm    270              "LDO Voltage Regulators 800MA LDO LINEAR REG"                   
D49        IC_STM_STM32F103C8T6      TopLayer TSQFP50P900X900X160-48N    81.3750mm    57.2250mm    90               "MCU 32BIT Cortex M3 64KB 20KB RAM 2X12 ADC"                    
D1         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 34.0403mm    26.5159mm    90.3088836669922 "High Luminous PLCC4 Power Top SMD LED"                         
D2         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 21.5974mm    21.5974mm    45               "High Luminous PLCC4 Power Top SMD LED"                         
D3         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 26.4969mm    34.0000mm    1.52587890625E-5 "High Luminous PLCC4 Power Top SMD LED"                         
D4         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 21.6112mm    46.3889mm    134.999954223633 "High Luminous PLCC4 Power Top SMD LED"                         
D5         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 116.0000mm   41.5399mm    270              "High Luminous PLCC4 Power Top SMD LED"                         
D6         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 128.4026mm   46.4026mm    225              "High Luminous PLCC4 Power Top SMD LED"                         
D7         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 123.5399mm   34.0000mm    180              "High Luminous PLCC4 Power Top SMD LED"                         
D8         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 128.4027mm   21.5973mm    315              "High Luminous PLCC4 Power Top SMD LED"                         
D9         DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 47.7700mm    10.1496mm    300              "High Luminous PLCC4 Power Top SMD LED"                         
D10        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 57.8504mm    20.2300mm    330              "High Luminous PLCC4 Power Top SMD LED"                         
D11        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 61.5399mm    34.0000mm    180              "High Luminous PLCC4 Power Top SMD LED"                         
D12        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 51.5399mm    34.0000mm    180              "High Luminous PLCC4 Power Top SMD LED"                         
D13        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 102.2300mm   57.8504mm    120              "High Luminous PLCC4 Power Top SMD LED"                         
D14        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 92.1496mm    47.7700mm    150              "High Luminous PLCC4 Power Top SMD LED"                         
D15        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 88.4601mm    34.0000mm    360              "High Luminous PLCC4 Power Top SMD LED"                         
D16        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 98.4601mm    34.0000mm    360              "High Luminous PLCC4 Power Top SMD LED"                         
D17        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 10.1496mm    20.2300mm    210              "High Luminous PLCC4 Power Top SMD LED"                         
D18        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 20.2300mm    10.1496mm    240              "High Luminous PLCC4 Power Top SMD LED"                         
D19        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 34.0000mm    6.4601mm     90               "High Luminous PLCC4 Power Top SMD LED"                         
D20        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 34.0000mm    16.4601mm    90               "High Luminous PLCC4 Power Top SMD LED"                         
D21        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 139.8504mm   47.7700mm    30               "High Luminous PLCC4 Power Top SMD LED"                         
D22        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 129.7700mm   57.8504mm    60               "High Luminous PLCC4 Power Top SMD LED"                         
D23        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 116.0000mm   61.5399mm    270              "High Luminous PLCC4 Power Top SMD LED"                         
D24        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 116.0000mm   51.5399mm    270              "High Luminous PLCC4 Power Top SMD LED"                         
D25        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 20.2300mm    57.8504mm    120              "High Luminous PLCC4 Power Top SMD LED"                         
D26        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 10.1496mm    47.7700mm    150              "High Luminous PLCC4 Power Top SMD LED"                         
D27        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 6.4601mm     34.0000mm    360              "High Luminous PLCC4 Power Top SMD LED"                         
D28        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 16.4601mm    34.0000mm    360              "High Luminous PLCC4 Power Top SMD LED"                         
D29        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 116.0000mm   26.4305mm    90               "High Luminous PLCC4 Power Top SMD LED"                         
D30        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 103.6113mm   21.5836mm    45.0638580322266 "High Luminous PLCC4 Power Top SMD LED"                         
D31        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 108.4969mm   34.0000mm    360              "High Luminous PLCC4 Power Top SMD LED"                         
D32        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 103.5973mm   46.4027mm    135              "High Luminous PLCC4 Power Top SMD LED"                         
D33        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 34.0000mm    41.5031mm    270              "High Luminous PLCC4 Power Top SMD LED"                         
D34        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 46.3887mm    46.4164mm    225.063926696777 "High Luminous PLCC4 Power Top SMD LED"                         
D35        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 41.5031mm    34.0000mm    180              "High Luminous PLCC4 Power Top SMD LED"                         
D36        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 46.3888mm    21.6111mm    315              "High Luminous PLCC4 Power Top SMD LED"                         
D37        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 92.1496mm    20.2300mm    210              "High Luminous PLCC4 Power Top SMD LED"                         
D38        DIO_LED_4pin_3528         TopLayer DIO_Optosupply_OSR5PAS3C1A 102.2300mm   10.1496mm    240              "High Luminous PLCC4 Power Top SMD LED"                         
